Date	Route	Rating	Notes	URL	Pitches	Location	Avg Stars	Your Stars	Style	Lead Style	Route Type	Your Rating
2017-03-27	Mona Lisa Overdrive 	5.11b 6c 23 VIII- 23 E3 5c	TR'ed, awesome bubble. Got caught in the rain	https://www.mountainproject.com/v/mona-lisa-overdrive-/106925375	1	Kentucky : Red River Gorge : Pendergrass-Murray Recreati... : Solar Collector/Gold Coast	2.8	-1			Sport	
2017-03-27	Decline of Western Civilization	5.10a 6a 18 VI+ 18 E1 5a	Led, fun climb	https://www.mountainproject.com/v/decline-of-western-civilization/107878537	1	Kentucky : Red River Gorge : Pendergrass-Murray Recreati... : Solar Collector/Gold Coast	2.3	-1			Sport	
2017-03-27	Make  A Wish	5.10a/b 6a+ 19 VI+ 19 E2 5b	Led, cool finish!	https://www.mountainproject.com/v/make-a-wish/106081926	1	Kentucky : Red River Gorge : Pendergrass-Murray Recreati... : Drive-By Crag	2.4	-1			Sport	
2017-03-27	Whip-Stocking	5.11a 6c 22 VII+ 22 E3 5c	TR'ed, tough to stay on the wall towards the end	https://www.mountainproject.com/v/whip-stocking/106081917	1	Kentucky : Red River Gorge : Pendergrass-Murray Recreati... : Drive-By Crag	3.6	-1			Sport	
2017-03-27	AWOL	5.10a 6a 18 VI+ 18 E1 5a		https://www.mountainproject.com/v/awol/105880940	1	Kentucky : Red River Gorge : Graining Fork Nature Preser...	2.9	-1	Lead		Sport	
2017-03-27	Up Yonder	5.11b 6c 23 VIII- 23 E3 5c		https://www.mountainproject.com/v/up-yonder/105901381	1	Kentucky : Red River Gorge : Graining Fork Nature Preser...	3.0	-1	TR		Sport	
2016-10-16	Sunless in Seattle	5.7 5a 15 V+ 13 MVS 4b	Fun little slab climb	https://www.mountainproject.com/v/sunless-in-seattle/106384850	1	Pennsylvania : Southeastern Lowlands : Birdsboro Quarry : Beer Wall (Reservoir Level)	2.0	-1			Sport	
2016-10-16	Rain Check Direct	5.7+ 5a 15 V+ 13 MVS 4b	Fun, short	https://www.mountainproject.com/v/rain-check-direct/106931093	1	Pennsylvania : Southeastern Lowlands : Birdsboro Quarry : Main Wall	1.5	-1			Sport	
2016-10-16	Arocknophobia	5.7 5a 15 V+ 13 MVS 4b	Fun, short	https://www.mountainproject.com/v/arocknophobia/106931088	1	Pennsylvania : Southeastern Lowlands : Birdsboro Quarry : Main Wall	1.5	-1			Sport	
2016-10-16	Itching to Climb	5.8- 5b 16 VI- 14 VS 4c	Fun slab with good holds	https://www.mountainproject.com/v/itching-to-climb/106381102	1	Pennsylvania : Southeastern Lowlands : Birdsboro Quarry : Main Wall	2.6	-1			Sport	
